Chromophore,Solvent,Quantum yield
N[C@@H](Cc1ccc(O)cc1)C(=O)O,O,0.098
N#Cc1c[nH]c2ccccc12,C1COCCO1,0.262
O=C(N/N=C/c1ccccc1O)c1ccccc1,C1CCOC1,0.082
Cc1cn(C(F)(F)F)c(=O)[nH]c1=O,CC#N,0.371
Cc1cc(=O)[nH]c(=O)[nH]1,CC#N,0.332
Cn1ccc(=O)n(C)c1=O,CC#N,0.301
O=C1c2ccccc2C(=O)N1c1ccc(Cn2cncn2)cc1,CCCCCC,0.406
O=c1cc[nH]c(=O)[nH]1,CC#N,0.345
O=C(N/N=C/c1ccccc1O)c1cc2ccccc2cc1O,C1CCOC1,0.145
O=C(N/N=C/c1ccccc1O)c1ccc([N+](=O)[O-])cc1,C1CCOC1,0.103
N#Cc1c[nH]c2ccccc12,CC#N,0.261
O=C1c2ccccc2C(=O)N1c1ccc(Cn2cncn2)cc1,C1COCCO1,0.484
c1cc(N2CCCC2)ccn1,CCO,0.114
N#Cc1c[nH]c2ccccc12,C1CCOC1,0.261
N#Cc1c[nH]c2ccccc12,CCO,0.243
N#Cc1c[nH]c2ccccc12,CO,0.222
N#Cc1c[nH]c2ccccc12,OCC(F)(F)F,0.183
[NH3+]c1ccc2c(c1)Cc1ccccc1-2,O,0.354
N#Cc1c[nH]c2ccccc12,CC(C)O,0.297
Cc1c[nH]c(=O)[nH]c1=O,CC#N,0.332
N#Cc1c[nH]c2ccccc12,CS(C)=O,0.242
c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2cnccc21,CC1CCCO1,0.349
N#Cc1c[nH]c2ccccc12,O,0.238
COc1cc(C(=O)O)ccc1O,C1CCCCC1,0.256
O=c1[nH]cc(F)c(=O)[nH]1,CC#N,0.357
O=C1c2ccccc2C(=O)N1c1ccc(Cn2cncn2)cc1,Cc1ccccc1,0.42
CCOC(=O)COc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1,C1CCCCC1,0.473
C[SiH](C)c1cccc2ccccc12,C1CCCCC1,0.342
N#Cc1cc2ccccc2[nH]1,C1CCOC1,0.214
CCOC(=O)COc1ccccc1C(c1c(C)[nH]c2ccccc12)c1c(C)[nH]c2ccccc12,C1CCCCC1,0.481
CCOC(=O)CCOc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1,C1CCCCC1,0.477
CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,0.34
CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,0.345
CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,0.355
N#Cc1cc2ccccc2[nH]1,C1COCCO1,0.214
CCOC(=O)CCOc1ccccc1C(c1c(C)[nH]c2ccccc12)c1c(C)[nH]c2ccccc12,C1CCCCC1,0.478
CCOC(=O)COc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1OC,C1CCCCC1,0.47
N#Cc1cc2ccccc2[nH]1,CC#N,0.208
O=C(N/N=C/c1ccccc1O)c1ccc([N+](=O)[O-])cc1,CS(C)=O,0.096
COc1cc(C(=O)O)ccc1O,C1COCCO1,0.296
COc1cc(C(=O)O)ccc1O,CCOC(C)=O,0.291
COc1cc(C(=O)O)ccc1O,CC#N,0.299
CCOC(=O)CCOc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1OC,C1CCCCC1,0.457
N#Cc1cc2ccccc2[nH]1,CC(C)O,0.254
NCCc1c[nH]c2ccc(O)cc12,CC#N,0.298
O=C1C=C(Nc2ccccc2)CCC1,CCOC(C)=O,0.233
C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,0.418
C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,0.386
c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2cccnc21,CC1CCCO1,0.351
c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ncccc21,CC1CCCO1,0.367
